fipsCode,elev_mean,elev_std,elev_min,elev_max,elev_range,elev_p90_p10,tri_km,slope_pct,ers_topo_code,ers_pct_water
39059,297.78333333333336,29.677984573780986,235.0,374.0,139.0,76.90000000000003,27.083333333333332,1.3278820319322535,18,1.19
39061,220.68333333333337,42.30498294434007,140.0,280.0,140.0,115.20000000000002,32.11666666666667,1.6510572906094576,5,1.31
39063,245.33333333333337,15.890159695271882,216.0,285.0,69.0,45.10000000000002,5.45,0.3059541800418697,2,0.42
39065,300.1333333333333,15.123745687356,273.0,337.0,64.0,39.10000000000002,4.516666666666667,0.1975782292590345,2,0.05
39067,341.68333333333334,33.816299182428,261.0,399.0,138.0,87.69999999999999,22.183333333333337,1.686685725743598,18,1.76
39069,211.75,7.160685981720855,198.0,232.0,34.0,17.099999999999994,2.5166666666666666,0.1951338843567348,1,0.83
39071,306.78333333333336,24.168260224101505,238.0,371.0,133.0,58.30000000000001,10.933333333333334,0.4978948704930107,4,0.82
39073,283.3,33.39202178131878,208.0,349.0,141.0,89.40000000000003,29.466666666666665,1.278012399736725,18,0.2
39075,329.81666666666666,35.87383337342073,244.0,390.0,146.0,95.8,19.716666666666665,1.071803568986695,18,0.24
39077,267.0833333333333,28.427899680173148,207.0,346.0,139.0,74.29999999999998,7.983333333333333,0.2811234244743005,2,0.37
39079,243.11666666666667,24.41178630773388,184.0,292.0,108.0,59.400000000000006,23.35,1.34249548922486,18,0.29
39081,344.85,35.674054095283594,196.0,399.0,203.0,72.80000000000001,29.583333333333332,1.4018473452612286,19,0.31
39083,340.4,31.845069862951643,262.0,403.0,141.0,82.19999999999999,19.9,1.0248297155349446,5,0.46
39085,186.65,35.62508400227979,172.0,343.0,171.0,42.19999999999999,7.633333333333334,0.1715476783641951,5,75.0
39087,236.85,32.78374183667202,166.0,285.0,119.0,93.2,32.6,2.422371258019986,19,0.4
39089,318.3833333333333,29.832351718219396,261.0,382.0,121.0,74.5,21.583333333333332,0.970653309992082,18,0.27
39091,339.03333333333336,35.16978993815268,299.0,452.0,153.0,83.40000000000003,11.35,0.5610401081815961,4,1.78
39093,216.11666666666667,43.17881294113642,172.0,301.0,129.0,94.0,4.2,0.1290020245020339,4,46.64
39095,188.9,15.867779954296257,172.0,215.0,43.0,39.0,2.3333333333333335,0.1195832096022474,1,39.29
39097,304.8833333333333,18.555543432904233,273.0,347.0,74.0,49.10000000000002,4.316666666666666,0.1937026534808748,4,0.15
