fipsCode,tl_km,tl_segments,tl_max_kv,tl_km_per_1ksqmi
54077,579.9603945352354,30,500.0,893.8777439069371
54079,1010.2102119353552,52,765.0,2922.3939317556324
54081,593.1970624195731,45,345.0,979.909545277386
54083,256.8959217851833,20,138.0,247.08658438509505
54085,47.14394464106352,2,138.0,104.30307007027484
54087,139.88558874278192,3,138.0,289.2810011162598
54089,321.7969692026664,9,345.0,892.412946495392
54091,555.3344759634342,21,500.0,3214.280614011809
54093,391.6473724932176,14,500.0,934.6211197230308
54095,248.95343814775708,6,765.0,971.3285036705022
54097,322.83253475944474,17,138.0,910.3156874318172
54099,598.8407193069119,24,765.0,1183.4679880770186
54101,143.1266172195356,9,138.0,258.5986904792231
54103,224.1336268730567,17,765.0,625.954435547137
54105,164.16493720844807,2,765.0,706.0523468070245
54107,407.8839393460375,36,765.0,1112.916614859584
54109,715.0704541868154,35,765.0,1431.6584663479596
