fipsCode,county_name,fia_forest_acres,fia_forest_se_pct,fia_plots,fia_pct_forest
42021,PA Cambria,232924.6149167304,16.2521670376,37.0,0.5293664249354791
42023,PA Cameron,230538.8191185429,16.336050811,37.0,0.909103746716511
42025,PA Carbon,162063.4126831467,18.3988592082,31.0,0.6640654202657496
42027,PA Centre,502480.6466656172,10.7013790499,84.0,0.7081449853478343
42029,PA Chester,86292.9883858103,25.2089422284,16.0,0.17964627664770524
42031,PA Clarion,250104.8412623704,15.7923550374,43.0,0.650409537514382
42033,PA Clearfield,531754.1973357563,10.4567791922,91.0,0.7254411920957974
42035,PA Clinton,415970.7356207242,11.4157547312,70.0,0.7319436773718688
42037,PA Columbia,122511.6970935827,22.6024627351,19.0,0.3961501922732113
42039,PA Crawford,274328.8892431461,15.6186268963,42.0,0.4234076874638006
42041,PA Cumberland,87843.0823352473,25.5039089334,14.0,0.25162208724210583
42043,PA Dauphin,137615.2969539149,20.6291751934,23.0,0.4096707784603655
42045,PA Delaware,3966.4205160847,104.9790169806,1.0,0.03371613881556099
42047,PA Elk,457973.5084151428,10.5843027918,114.0,0.8653800236045918
42049,PA Erie,226427.3469994322,17.275201169,32.0,0.4428426245243384
42051,PA Fayette,337266.9038429442,13.1047810733,49.0,0.6664232764696661
42053,PA Forest,282012.2543096428,12.8248708043,87.0,1.0313279471206385
42055,PA Franklin,175410.6944214666,17.8955035444,31.0,0.35488743353745317
42057,PA Fulton,205130.5299361392,16.8443046198,34.0,0.7325236441585495
42059,PA Greene,212881.4333434785,17.0754644395,31.0,0.5775460290436808
42061,PA Huntingdon,456673.3065738043,10.7195579926,64.0,0.8158125077420153
42063,PA Indiana,371640.2670350117,12.7661908085,49.0,0.7018190838359565
42065,PA Jefferson,279999.8818580308,14.674751553,47.0,0.6705646009229627
42067,PA Juniata,152394.565191035,20.3420691293,20.0,0.6083852416406923
42069,PA Lackawanna,216064.9102840184,16.4527720196,35.0,0.73549425031269
42071,PA Lancaster,90250.6843245184,23.9494919967,18.0,0.14939411886662485
42073,PA Lawrence,112685.2902760722,23.3124944748,19.0,0.4926916907261842
42075,PA Lebanon,57592.6276870958,29.0764991227,12.0,0.2487003213096776
42077,PA Lehigh,69514.8155740603,26.2548901951,16.0,0.3145289151728459
42079,PA Luzerne,395131.8302565009,11.8113497192,70.0,0.6939633150707432
42081,PA Lycoming,652607.710719387,9.142763003,108.0,0.8297525860097014
42083,PA McKean,563924.5689686768,9.4698293298,136.0,0.8993952591457717
42085,PA Mercer,143456.2226134068,21.1519571026,25.0,0.33329915516779896
42087,PA Mifflin,118565.9651065718,21.1661077125,20.0,0.45070325749983203
42089,PA Monroe,323794.0204457104,13.3750226221,52.0,0.8316303699084954
42091,PA Montgomery,39957.5745112447,34.3344324591,11.0,0.12927010146327592
42093,PA Montour,35452.6259267515,41.5932880407,7.0,0.42532480563378056
42095,PA Northampton,52611.3311424446,31.0602247904,13.0,0.2223036034432423
42097,PA Northumberland,112421.5098207165,22.361457097,22.0,0.38381565754542535
42099,PA Perry,244097.4303130861,15.2915709947,41.0,0.6916364611490764
42101,,0.0,,,0.0
42103,PA Pike,301318.516463577,13.7002296156,46.0,0.8640383596368825
42105,PA Potter,613080.7659131712,9.4586142423,101.0,0.8859556834173535
42107,PA Schuylkill,292865.979366301,14.0977982451,47.0,0.5877413759680717
42109,PA Snyder,108546.3922963718,23.5251593363,18.0,0.5158515559245004
42111,PA Somerset,415576.4765687421,11.4267003062,64.0,0.6040091685653366
42113,PA Sullivan,251295.3855986441,15.7977938671,39.0,0.8726717177170269
42115,PA Susquehanna,297041.3079790398,13.7396691595,56.0,0.5636043362792013
42117,PA Tioga,435080.5659963292,11.6123638837,75.0,0.5995858056449427
42119,PA Union,112652.3959942313,22.6595742954,18.0,0.5571079427919
42121,PA Venango,277085.8765113485,15.0117478935,43.0,0.6421016692976531
42123,PA Warren,481766.3577984955,9.9449761616,125.0,0.8512668289755408
42125,PA Washington,207784.7352966785,16.2636184374,36.0,0.378832976162542
42127,PA Wayne,376677.7166423276,12.2920635908,61.0,0.8109452625472249
42129,PA Westmoreland,366478.7553500768,12.5605542568,51.0,0.5571824161190052
42131,PA Wyoming,180488.2212906446,18.043751846,33.0,0.7096876655022755
42133,PA York,129804.4500789092,19.9856835315,24.0,0.22426700389919085
54001,WV Barbour,150051.4944342476,22.1016141122,21.0,0.687433728632031
54003,WV Berkeley,80226.3176915105,28.4457459583,14.0,0.39033097426718966
54005,WV Boone,297332.1898234156,15.7823062441,38.0,0.9263211399408352
54007,WV Braxton,247864.0355246446,17.2671160128,33.0,0.7582945275088983
54009,WV Brooke,51079.7601780533,36.3390803492,8.0,0.8947948930244437
54011,WV Cabell,132012.1075559963,23.2974649882,20.0,0.7339930114483305
54013,WV Calhoun,106069.0407311053,26.2874681928,16.0,0.5934928420496044
54015,WV Clay,183834.2445929792,20.5883256932,24.0,0.8400358168460748
54017,WV Doddridge,135504.2549544702,23.4236722487,18.0,0.6622150998406736
54019,WV Fayette,341895.058616117,14.5042653442,49.0,0.8074373222528619
54021,WV Gilmer,182044.0098608104,20.4612711043,23.0,0.8402990975191247
54023,WV Grant,238165.6168671418,17.4046639094,36.0,0.7795467190260615
54025,WV Greenbrier,595139.1901540891,10.1446328188,117.0,0.9118387239775962
54027,WV Hampshire,308011.0907977108,15.2574731291,42.0,0.7515081610791707
54029,WV Hancock,28524.3920828916,50.649890423,4.0,0.5395218756977828
54031,WV Hardy,296860.6502484151,14.625928718,56.0,0.7965530099914112
54033,WV Harrison,114201.0392550974,24.5769247981,18.0,0.42893195283766106
54035,WV Jackson,208565.5159211071,18.9185244573,30.0,0.7017924033489817
54037,WV Jefferson,35573.9655161944,45.2879328171,5.0,0.26557756057953213
54039,WV Kanawha,332324.2148942929,14.3381976949,50.0,0.5758972301522686
54041,WV Lewis,179812.0399117538,20.2323909994,23.0,0.7261166421888074
54043,WV Lincoln,265783.237430372,16.4992109215,35.0,0.9501097214664984
54045,WV Logan,298546.4955304768,15.9847935883,38.0,1.0281274434644723
54047,WV McDowell,382307.3759961992,13.9295065311,50.0,1.1197793921809425
54049,WV Marion,142939.4153303943,23.1116114744,19.0,0.723370579245355
54051,WV Marshall,134664.6699273194,22.8700567086,23.0,0.6889069765722424
54053,WV Mason,172749.8155359077,20.1117223577,27.0,0.6266054738858406
54055,WV Mercer,148832.3711646754,22.2471831773,21.0,0.5550636571927892
54057,WV Mineral,126278.8687436407,23.6671160907,18.0,0.6017736027349431
54059,WV Mingo,252756.6114823489,17.3335432789,31.0,0.9333369698945271
54061,WV Monongalia,130926.1985575332,22.9127698987,22.0,0.5681108862350333
54063,WV Monroe,142101.0127615936,22.4665269631,26.0,0.46965828409699334
54065,WV Morgan,93840.1330633206,27.0532871021,15.0,0.6400807075100009
54067,WV Nicholas,374189.8636933232,13.7120971081,59.0,0.9038807722716342
54069,WV Ohio,45218.5421390721,39.7731867336,6.0,0.6676176140253252
54071,WV Pendleton,386057.1623567761,11.7495259166,101.0,0.8666249783527946
54073,WV Pleasants,70389.3294240265,32.5322606692,10.0,0.8452518634868189
54075,WV Pocahontas,536810.8072610543,8.5270691614,188.0,0.8920783825659193
54077,WV Preston,256975.5148166717,16.6809987912,37.0,0.6188587821795608
54079,WV Putnam,179639.6701875513,20.6628369868,24.0,0.8119873775035478
54081,WV Raleigh,282379.3557848833,16.3449866994,38.0,0.7288530333469564
54083,WV Randolph,606788.6759041897,9.3541856713,151.0,0.9119046899108362
54085,WV Ritchie,197742.2534100694,18.5505948604,30.0,0.6835820946331411
54087,WV Roane,194489.5042589856,19.2132936138,29.0,0.6284390046481327
54089,WV Summers,133526.5588756446,23.3708503922,22.0,0.5785908956471433
54091,WV Taylor,59095.3386924905,34.9219839077,8.0,0.5344442453132552
54093,WV Tucker,191654.8819638814,15.5548241809,63.0,0.7146284234318228
54095,WV Tyler,109357.965132868,24.9668360436,18.0,0.66668157298853
54097,WV Upshur,163453.6804006322,20.900484953,25.0,0.7201607713386265
54099,WV Wayne,295364.2994035078,15.3523248009,42.0,0.912059599841861
54101,WV Webster,429673.7787598472,12.0894087288,82.0,1.2130111466064306
54103,WV Wetzel,225965.4906339728,17.6804356421,32.0,0.9860475249480753
54105,WV Wirt,93426.7688433397,27.0955260574,17.0,0.6278383660029774
54107,WV Wood,182529.3757346767,19.9757367619,25.0,0.7781777614882192
54109,WV Wyoming,295582.6118445961,15.8671571807,39.0,0.9246758183818474
